lat,lon,speed,direction
-80,-170,10,105
-80,-160,12,185
-80,-150,10,250
-80,-140,11,240
-80,-130,28,210
-80,-120,23,210
-80,-110,23,235
-80,-100,18,280
-80,-90,16,15
-80,-80,20,5
-80,-70,9,355
-80,-60,7,345
-80,-50,7,195
-80,-40,10,350
-80,-30,3,220
-80,-20,27,245
-80,-10,18,230
-80,0,14,210
-80,10,15,190
-80,20,17,190
-80,30,13,200
-80,40,10,305
-80,50,24,330
-80,60,26,305
-80,70,26,290
-80,80,20,295
-80,90,11,300
-80,100,15,60
-80,110,21,65
-80,120,24,65
-80,130,30,70
-80,140,27,80
-80,150,40,80
-80,160,44,80
-80,170,17,80
-80,180,17,55
-70,-170,45,110
-70,-160,27,195
-70,-150,25,45
-70,-140,35,40
-70,-130,32,15
-70,-120,15,190
-70,-110,17,290
-70,-100,21,275
-70,-90,17,345
-70,-80,17,300
-70,-70,28,205
-70,-60,39,350
-70,-50,30,285
-70,-40,13,260
-70,-30,0,90
-70,-20,20,245
-70,-10,7,295
-70,0,13,55
-70,10,14,355
-70,20,25,340
-70,30,15,255
-70,40,13,225
-70,50,13,285
-70,60,19,25
-70,70,20,30
-70,80,31,250
-70,90,20,270
-70,100,24,340
-70,110,23,355
-70,120,22,290
-70,130,30,305
-70,140,35,350
-70,150,13,330
-70,160,11,160
-70,170,51,305
-70,180,48,105
-60,-170,27,130
-60,-160,46,65
-60,-150,35,105
-60,-140,44,55
-60,-130,50,50
-60,-120,64,60
-60,-110,67,90
-60,-100,51,110
-60,-90,56,140
-60,-80,26,145
-60,-70,41,360
-60,-60,39,185
-60,-50,43,155
-60,-40,49,125
-60,-30,35,80
-60,-20,63,35
-60,-10,17,160
-60,0,23,175
-60,10,8,75
-60,20,23,120
-60,30,39,85
-60,40,51,65
-60,50,43,105
-60,60,61,140
-60,70,35,130
-60,80,46,125
-60,90,39,130
-60,100,40,60
-60,110,47,40
-60,120,52,360
-60,130,41,105
-60,140,47,175
-60,150,44,145
-60,160,29,135
-60,170,34,115
-60,180,54,120
-50,-170,16,60
-50,-160,28,30
-50,-150,37,35
-50,-140,46,50
-50,-130,33,75
-50,-120,28,80
-50,-110,42,115
-50,-100,52,115
-50,-90,44,95
-50,-80,39,80
-50,-70,47,80
-50,-60,52,145
-50,-50,37,155
-50,-40,23,175
-50,-30,34,65
-50,-20,57,55
-50,-10,56,75
-50,0,56,145
-50,10,72,60
-50,20,68,175
-50,30,38,165
-50,40,33,65
-50,50,27,40
-50,60,55,145
-50,70,42,120
-50,80,32,65
-50,90,54,320
-50,100,29,130
-50,110,48,95
-50,120,66,90
-50,130,56,105
-50,140,38,135
-50,150,16,215
-50,160,0,229
-50,170,29,175
-50,180,14,155
-40,-170,12,140
-40,-160,18,340
-40,-150,19,350
-40,-140,14,45
-40,-130,16,20
-40,-120,16,310
-40,-110,41,220
-40,-100,12,290
-40,-90,20,20
-40,-80,36,110
-40,-70,20,100
-40,-60,32,170
-40,-50,29,145
-40,-40,17,65
-40,-30,32,60
-40,-20,41,80
-40,-10,43,95
-40,0,30,80
-40,10,47,50
-40,20,52,130
-40,30,18,245
-40,40,51,340
-40,50,48,165
-40,60,28,200
-40,70,17,275
-40,80,25,355
-40,90,40,50
-40,100,21,160
-40,110,9,70
-40,120,25,65
-40,130,35,65
-40,140,39,35
-40,150,29,100
-40,160,30,215
-40,170,30,220
-40,180,32,295
-30,-170,36,285
-30,-160,32,305
-30,-150,31,320
-30,-140,7,305
-30,-130,15,30
-30,-120,33,115
-30,-110,33,175
-30,-100,7,200
-30,-90,12,335
-30,-80,17,350
-30,-70,12,135
-30,-60,9,220
-30,-50,32,235
-30,-40,18,305
-30,-30,35,295
-30,-20,40,300
-30,-10,28,300
-30,0,18,30
-30,10,14,5
-30,20,18,105
-30,30,10,285
-30,40,17,120
-30,50,15,265
-30,60,35,275
-30,70,43,265
-30,80,25,280
-30,90,26,270
-30,100,31,290
-30,110,44,305
-30,120,21,285
-30,130,26,345
-30,140,43,5
-30,150,19,190
-30,160,23,270
-30,170,24,250
-30,180,39,260
-20,-170,23,265
-20,-160,16,310
-20,-150,26,115
-20,-140,23,160
-20,-130,16,205
-20,-120,14,215
-20,-110,28,255
-20,-100,28,280
-20,-90,29,300
-20,-80,20,315
-20,-70,3,60
-20,-60,6,340
-20,-50,15,265
-20,-40,13,345
-20,-30,11,200
-20,-20,23,255
-20,-10,22,265
-20,0,23,330
-20,10,17,335
-20,20,10,265
-20,30,21,305
-20,40,22,5
-20,50,20,355
-20,60,20,340
-20,70,42,145
-20,80,28,260
-20,90,19,275
-20,100,25,310
-20,110,3,280
-20,120,26,75
-20,130,11,310
-20,140,15,355
-20,150,19,245
-20,160,25,270
-20,170,32,295
-20,180,13,230
-10,-170,18,275
-10,-160,19,265
-10,-150,19,250
-10,-140,23,275
-10,-130,29,280
-10,-120,31,290
-10,-110,33,290
-10,-100,32,290
-10,-90,27,300
-10,-80,23,330
-10,-70,2,350
-10,-60,1,265
-10,-50,6,265
-10,-40,26,315
-10,-30,22,280
-10,-20,30,285
-10,-10,26,300
-10,0,20,330
-10,10,11,325
-10,20,8,280
-10,30,8,330
-10,40,14,245
-10,50,15,80
-10,60,21,105
-10,70,21,140
-10,80,10,10
-10,90,2,265
-10,100,8,330
-10,110,11,360
-10,120,3,30
-10,130,16,35
-10,140,17,100
-10,150,6,320
-10,160,7,45
-10,170,16,120
-10,180,14,245
0,-170,20,245
0,-160,19,250
0,-150,21,250
0,-140,23,255
0,-130,22,270
0,-120,22,255
0,-110,25,285
0,-100,19,280
0,-90,16,285
0,-80,1,315
0,-70,4,35
0,-60,9,240
0,-50,11,220
0,-40,26,230
0,-30,23,220
0,-20,15,260
0,-10,10,310
0,0,14,5
0,10,6,55
0,20,3,255
0,30,4,270
0,40,8,255
0,50,19,220
0,60,17,215
0,70,13,170
0,80,10,145
0,90,14,70
0,100,5,50
0,110,4,70
0,120,7,110
0,130,26,170
0,140,23,145
0,150,10,220
0,160,14,250
0,170,22,185
0,180,24,250
10,-170,31,250
10,-160,27,235
10,-150,29,270
10,-140,43,240
10,-130,38,240
10,-120,38,240
10,-110,33,260
10,-100,21,260
10,-90,34,240
10,-80,19,200
10,-70,9,275
10,-60,27,275
10,-50,33,255
10,-40,34,240
10,-30,31,215
10,-20,41,195
10,-10,8,90
10,0,3,355
10,10,12,245
10,20,6,285
10,30,4,240
10,40,13,280
10,50,25,270
10,60,8,210
10,70,13,150
10,80,5,355
10,90,10,190
10,100,17,275
10,110,13,345
10,120,4,215
10,130,17,230
10,140,33,245
10,150,32,250
10,160,29,250
10,170,35,255
10,180,32,245
20,-170,32,235
20,-160,15,195
20,-150,11,325
20,-140,25,300
20,-130,29,230
20,-120,32,230
20,-110,21,155
20,-100,6,355
20,-90,24,290
20,-80,29,235
20,-70,15,135
20,-60,25,320
20,-50,30,285
20,-40,31,255
20,-30,27,220
20,-20,27,190
20,-10,13,345
20,0,15,290
20,10,13,190
20,20,8,350
20,30,8,195
20,40,11,60
20,50,21,260
20,60,5,95
20,70,23,120
20,80,11,160
20,90,10,45
20,100,4,135
20,110,2,335
20,120,13,115
20,130,12,335
20,140,11,230
20,150,10,220
20,160,15,260
20,170,21,275
20,180,21,270
30,-170,16,200
30,-160,27,135
30,-150,38,30
30,-140,36,335
30,-130,17,265
30,-120,34,170
30,-110,5,160
30,-100,26,360
30,-90,6,270
30,-80,20,225
30,-70,46,215
30,-60,34,15
30,-50,24,335
30,-40,14,300
30,-30,33,200
30,-20,13,200
30,-10,20,155
30,0,27,290
30,10,19,195
30,20,40,140
30,30,34,95
30,40,23,360
30,50,13,70
30,60,17,135
30,70,19,55
30,80,10,50
30,90,16,135
30,100,4,150
30,110,7,270
30,120,3,215
30,130,28,280
30,140,9,320
30,150,28,255
30,160,19,165
30,170,27,45
30,180,17,35
40,-170,27,240
40,-160,35,250
40,-150,52,265
40,-140,11,305
40,-130,21,90
40,-120,6,105
40,-110,21,95
40,-100,18,240
40,-90,8,160
40,-80,11,50
40,-70,26,25
40,-60,17,260
40,-50,43,255
40,-40,25,220
40,-30,15,60
40,-20,18,200
40,-10,15,10
40,0,20,325
40,10,13,210
40,20,14,145
40,30,26,210
40,40,9,210
40,50,20,215
40,60,11,140
40,70,14,80
40,80,15,240
40,90,14,240
40,100,10,210
40,110,30,155
40,120,9,5
40,130,22,300
40,140,6,155
40,150,43,130
40,160,56,95
40,170,20,95
40,180,52,345
50,-170,34,360
50,-160,10,180
50,-150,8,320
50,-140,19,210
50,-130,16,205
50,-120,1,150
50,-110,11,115
50,-100,19,45
50,-90,8,65
50,-80,10,65
50,-70,12,135
50,-60,37,30
50,-50,46,30
50,-40,7,5
50,-30,47,195
50,-20,25,20
50,-10,16,360
50,0,16,245
50,10,9,285
50,20,14,120
50,30,19,100
50,40,22,115
50,50,17,90
50,60,23,105
50,70,16,55
50,80,12,335
50,90,7,350
50,100,10,145
50,110,6,110
50,120,10,180
50,130,5,105
50,140,6,125
50,150,48,165
50,160,46,170
50,170,68,355
50,180,55,355
60,-170,46,330
60,-160,3,280
60,-150,5,305
60,-140,4,60
60,-130,7,85
60,-120,10,325
60,-110,5,135
60,-100,20,135
60,-90,30,130
60,-80,26,75
60,-70,49,70
60,-60,39,120
60,-50,42,360
60,-40,46,65
60,-30,55,95
60,-20,48,80
60,-10,44,80
60,0,29,80
60,10,21,60
60,20,29,80
60,30,27,80
60,40,19,30
60,50,5,30
60,60,4,275
60,70,14,310
60,80,16,305
60,90,6,315
60,100,7,140
60,110,7,55
60,120,3,340
60,130,3,140
60,140,7,145
60,150,18,175
60,160,31,215
60,170,42,240
60,180,50,335
70,-170,12,70
70,-160,22,55
70,-150,29,55
70,-140,22,85
70,-130,12,90
70,-120,25,80
70,-110,15,90
70,-100,10,20
70,-90,20,155
70,-80,26,190
70,-70,17,225
70,-60,30,300
70,-50,32,300
70,-40,10,285
70,-30,23,85
70,-20,32,160
70,-10,37,150
70,0,50,100
70,10,70,95
70,20,64,85
70,30,46,90
70,40,62,95
70,50,52,20
70,60,41,10
70,70,21,35
70,80,20,40
70,90,19,20
70,100,16,60
70,110,14,60
70,120,11,85
70,130,19,80
70,140,16,50
70,150,19,75
70,160,25,30
70,170,18,350
70,180,4,345
80,-170,14,60
80,-160,18,100
80,-150,15,50
80,-140,14,55
80,-130,10,60
80,-120,12,335
80,-110,17,340
80,-100,22,340
80,-90,8,70
80,-80,7,305
80,-70,9,35
80,-60,21,5
80,-50,34,40
80,-40,39,75
80,-30,16,115
80,-20,22,170
80,-10,49,75
80,0,55,195
80,10,58,215
80,20,53,225
80,30,52,255
80,40,48,285
80,50,30,280
80,60,17,280
80,70,11,310
80,80,5,80
80,90,15,115
80,100,27,105
80,110,22,115
80,120,18,90
80,130,20,85
80,140,18,35
80,150,16,25
80,160,22,25
80,170,17,355
80,180,17,360
