lat,lon,speed,direction
-80,-170,10,285
-80,-160,12,5
-80,-150,10,70
-80,-140,11,60
-80,-130,28,30
-80,-120,23,30
-80,-110,23,55
-80,-100,18,100
-80,-90,16,195
-80,-80,20,185
-80,-70,9,175
-80,-60,7,165
-80,-50,7,15
-80,-40,10,170
-80,-30,3,40
-80,-20,27,65
-80,-10,18,50
-80,0,14,30
-80,10,15,10
-80,20,17,10
-80,30,13,20
-80,40,10,125
-80,50,24,150
-80,60,26,125
-80,70,26,110
-80,80,20,115
-80,90,11,120
-80,100,15,240
-80,110,21,245
-80,120,24,245
-80,130,30,250
-80,140,27,260
-80,150,40,260
-80,160,44,260
-80,170,17,260
-80,180,17,235
-70,-170,45,290
-70,-160,27,15
-70,-150,25,225
-70,-140,35,220
-70,-130,32,195
-70,-120,15,10
-70,-110,17,110
-70,-100,21,95
-70,-90,17,165
-70,-80,17,120
-70,-70,28,25
-70,-60,39,170
-70,-50,30,105
-70,-40,13,80
-70,-30,0,270
-70,-20,20,65
-70,-10,7,115
-70,0,13,235
-70,10,14,175
-70,20,25,160
-70,30,15,75
-70,40,13,45
-70,50,13,105
-70,60,19,205
-70,70,20,210
-70,80,31,70
-70,90,20,90
-70,100,24,160
-70,110,23,175
-70,120,22,110
-70,130,30,125
-70,140,35,170
-70,150,13,150
-70,160,11,340
-70,170,51,125
-70,180,48,285
-60,-170,27,310
-60,-160,46,245
-60,-150,35,285
-60,-140,44,235
-60,-130,50,230
-60,-120,64,240
-60,-110,67,270
-60,-100,51,290
-60,-90,56,320
-60,-80,26,325
-60,-70,41,180
-60,-60,39,5
-60,-50,43,335
-60,-40,49,305
-60,-30,35,260
-60,-20,63,215
-60,-10,17,340
-60,0,23,355
-60,10,8,255
-60,20,23,300
-60,30,39,265
-60,40,51,245
-60,50,43,285
-60,60,61,320
-60,70,35,310
-60,80,46,305
-60,90,39,310
-60,100,40,240
-60,110,47,220
-60,120,52,180
-60,130,41,285
-60,140,47,355
-60,150,44,325
-60,160,29,315
-60,170,34,295
-60,180,54,300
-50,-170,16,240
-50,-160,28,210
-50,-150,37,215
-50,-140,46,230
-50,-130,33,255
-50,-120,28,260
-50,-110,42,295
-50,-100,52,295
-50,-90,44,275
-50,-80,39,260
-50,-70,47,260
-50,-60,52,325
-50,-50,37,335
-50,-40,23,355
-50,-30,34,245
-50,-20,57,235
-50,-10,56,255
-50,0,56,325
-50,10,72,240
-50,20,68,355
-50,30,38,345
-50,40,33,245
-50,50,27,220
-50,60,55,325
-50,70,42,300
-50,80,32,245
-50,90,54,140
-50,100,29,310
-50,110,48,275
-50,120,66,270
-50,130,56,285
-50,140,38,315
-50,150,16,35
-50,160,0,49
-50,170,29,355
-50,180,14,335
-40,-170,12,320
-40,-160,18,160
-40,-150,19,170
-40,-140,14,225
-40,-130,16,200
-40,-120,16,130
-40,-110,41,40
-40,-100,12,110
-40,-90,20,200
-40,-80,36,290
-40,-70,20,280
-40,-60,32,350
-40,-50,29,325
-40,-40,17,245
-40,-30,32,240
-40,-20,41,260
-40,-10,43,275
-40,0,30,260
-40,10,47,230
-40,20,52,310
-40,30,18,65
-40,40,51,160
-40,50,48,345
-40,60,28,20
-40,70,17,95
-40,80,25,175
-40,90,40,230
-40,100,21,340
-40,110,9,250
-40,120,25,245
-40,130,35,245
-40,140,39,215
-40,150,29,280
-40,160,30,35
-40,170,30,40
-40,180,32,115
-30,-170,36,105
